"filename", "language", "Dart", "comment", "blank", "total"
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\rive\rive_utils.dart", "Dart", 10, 0, 4, 14
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\snack_bar\snack_bars.dart", "Dart", 54, 3, 4, 61
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\theme\theme.dart", "Dart", 56, 15, 13, 84
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\theme\widget_theme\app_bar_theme.dart", "Dart", 16, 2, 4, 22
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\theme\widget_theme\dialog_theme.dart", "Dart", 0, 1, 0, 1
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\theme\widget_theme\elevated_button_theme.dart", "Dart", 40, 2, 4, 46
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\theme\widget_theme\text_field_theme.dart", "Dart", 10, 2, 3, 15
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\theme\widget_theme\text_theme.dart", "Dart", 76, 2, 3, 81
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\lib\src\utils\utils.dart", "Dart", 21, 0, 5, 26
"Total", "-", 5767, 224, 640, 6631
