"filename", "language", "JSON", "C++", "YAML", "XML", "HTML", "Markdown", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\macos\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\pubspec.yaml", "YAML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 60, 17, 124
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\web\index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 6, 59
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\flutter_window.cpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\win32_window.cpp", "C++", 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\YAGO\TFG\Flutter\tfg_v7 - fav\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 308, 505, 50, 1933, 37, 9, 54, 92, 8, 267, 267, 3530
